Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
12/21/2021 12:00:00 AM,12 - 17 Years,44.54568685,0.63,0.533
12/21/2021 12:00:00 AM,18 - 24 Years,62.35154841,0.713,0.588
12/21/2021 12:00:00 AM,25 - 39 Years,67.82426662,0.75,0.63
12/21/2021 12:00:00 AM,40 - 49 Years,50.00431944,0.827,0.713
12/21/2021 12:00:00 AM,50 - 64 Years,36.39304099,0.899,0.783
12/21/2021 12:00:00 AM,65 - 74 Years,22.0475683,0.95,0.899
12/21/2021 12:00:00 AM,75+ Years,21.7049284,0.95,0.845
12/20/2021 12:00:00 AM,5 - 11 Years,35.72772467,0.224,0.136
12/20/2021 12:00:00 AM,12 - 17 Years,41.03998252,0.629,0.532
12/20/2021 12:00:00 AM,18 - 24 Years,55.71669506,0.711,0.587
12/20/2021 12:00:00 AM,25 - 39 Years,60.67463811,0.748,0.63
12/20/2021 12:00:00 AM,40 - 49 Years,44.98652612,0.826,0.712
12/20/2021 12:00:00 AM,50 - 64 Years,33.33569318,0.898,0.783
12/20/2021 12:00:00 AM,65 - 74 Years,20.41930054,0.95,0.899
12/20/2021 12:00:00 AM,75+ Years,20.3055603,0.95,0.844
12/19/2021 12:00:00 AM,5 - 11 Years,34.40492201,0.22,0.133
12/19/2021 12:00:00 AM,12 - 17 Years,38.45710247,0.628,0.532
12/19/2021 12:00:00 AM,18 - 24 Years,50.21404505,0.709,0.586
12/19/2021 12:00:00 AM,25 - 39 Years,54.82782048,0.747,0.629
12/19/2021 12:00:00 AM,40 - 49 Years,41.17233708,0.825,0.712
12/19/2021 12:00:00 AM,50 - 64 Years,31.03524725,0.897,0.782
12/19/2021 12:00:00 AM,65 - 74 Years,19.11592288,0.95,0.898
12/19/2021 12:00:00 AM,75+ Years,19.31352329,0.95,0.844
12/18/2021 12:00:00 AM,5 - 11 Years,34.66506315,0.219,0.132
12/18/2021 12:00:00 AM,12 - 17 Years,37.96142705,0.627,0.531
12/18/2021 12:00:00 AM,18 - 24 Years,48.43372031,0.708,0.586
12/18/2021 12:00:00 AM,25 - 39 Years,53.31603637,0.746,0.629
12/18/2021 12:00:00 AM,40 - 49 Years,40.38115416,0.824,0.712
12/18/2021 12:00:00 AM,50 - 64 Years,30.58414826,0.896,0.782
12/18/2021 12:00:00 AM,65 - 74 Years,18.87840531,0.95,0.898
12/18/2021 12:00:00 AM,75+ Years,19.21537122,0.95,0.844
12/17/2021 12:00:00 AM,5 - 11 Years,34.41245505,0.216,0.129
12/17/2021 12:00:00 AM,12 - 17 Years,36.84158894,0.626,0.531
12/17/2021 12:00:00 AM,18 - 24 Years,45.90032672,0.707,0.586
12/17/2021 12:00:00 AM,25 - 39 Years,50.93711891,0.745,0.629
12/17/2021 12:00:00 AM,40 - 49 Years,39.04787099,0.823,0.712
12/17/2021 12:00:00 AM,50 - 64 Years,29.79841419,0.895,0.782
12/17/2021 12:00:00 AM,65 - 74 Years,18.44960127,0.95,0.898
12/17/2021 12:00:00 AM,75+ Years,19.06463768,0.95,0.844
12/16/2021 12:00:00 AM,5 - 11 Years,33.80629605,0.213,0.126
12/16/2021 12:00:00 AM,12 - 17 Years,35.5521476,0.626,0.53
12/16/2021 12:00:00 AM,18 - 24 Years,42.1983291,0.706,0.585
12/16/2021 12:00:00 AM,25 - 39 Years,47.21085184,0.744,0.628
12/16/2021 12:00:00 AM,40 - 49 Years,37.02899044,0.822,0.711
12/16/2021 12:00:00 AM,50 - 64 Years,28.71868254,0.894,0.782
12/16/2021 12:00:00 AM,65 - 74 Years,18.02631103,0.95,0.898
12/16/2021 12:00:00 AM,75+ Years,18.81294773,0.95,0.844
12/15/2021 12:00:00 AM,5 - 11 Years,33.80529164,0.21,0.124
12/15/2021 12:00:00 AM,12 - 17 Years,34.76866066,0.625,0.53
12/15/2021 12:00:00 AM,18 - 24 Years,39.36522072,0.704,0.585
12/15/2021 12:00:00 AM,25 - 39 Years,44.17124124,0.743,0.628
12/15/2021 12:00:00 AM,40 - 49 Years,35.66523627,0.821,0.711
12/15/2021 12:00:00 AM,50 - 64 Years,27.99515336,0.893,0.781
12/15/2021 12:00:00 AM,65 - 74 Years,17.89397982,0.95,0.898
12/15/2021 12:00:00 AM,75+ Years,18.74143693,0.95,0.843
12/14/2021 12:00:00 AM,5 - 11 Years,33.65563516,0.207,0.12
12/14/2021 12:00:00 AM,12 - 17 Years,34.06512137,0.624,0.529
12/14/2021 12:00:00 AM,18 - 24 Years,36.9240107,0.703,0.584
12/14/2021 12:00:00 AM,25 - 39 Years,41.86514779,0.742,0.627
12/14/2021 12:00:00 AM,40 - 49 Years,34.81523725,0.82,0.71
12/14/2021 12:00:00 AM,50 - 64 Years,27.70751248,0.892,0.781
12/14/2021 12:00:00 AM,65 - 74 Years,17.9631144,0.95,0.897
12/14/2021 12:00:00 AM,75+ Years,18.93283347,0.95,0.843
12/13/2021 12:00:00 AM,5 - 11 Years,33.83893924,0.204,0.116
12/13/2021 12:00:00 AM,12 - 17 Years,33.5134826,0.623,0.529
12/13/2021 12:00:00 AM,18 - 24 Years,35.10444885,0.702,0.583
12/13/2021 12:00:00 AM,25 - 39 Years,40.10238472,0.74,0.626
12/13/2021 12:00:00 AM,40 - 49 Years,34.32911859,0.819,0.71
12/13/2021 12:00:00 AM,50 - 64 Years,27.55177322,0.891,0.78
12/13/2021 12:00:00 AM,65 - 74 Years,18.11368357,0.95,0.897
12/13/2021 12:00:00 AM,75+ Years,19.13264305,0.95,0.843
12/12/2021 12:00:00 AM,5 - 11 Years,35.07787401,0.202,0.111
12/12/2021 12:00:00 AM,12 - 17 Years,34.32723544,0.623,0.528
12/12/2021 12:00:00 AM,18 - 24 Years,36.22956114,0.701,0.583
12/12/2021 12:00:00 AM,25 - 39 Years,40.91928007,0.739,0.626
12/12/2021 12:00:00 AM,40 - 49 Years,35.70456511,0.818,0.709
12/12/2021 12:00:00 AM,50 - 64 Years,29.29328321,0.89,0.78
12/12/2021 12:00:00 AM,65 - 74 Years,19.24570927,0.95,0.897
12/12/2021 12:00:00 AM,75+ Years,21.08236383,0.95,0.843
12/11/2021 12:00:00 AM,5 - 11 Years,35.19036747,0.201,0.109
12/11/2021 12:00:00 AM,12 - 17 Years,33.91721822,0.622,0.528
12/11/2021 12:00:00 AM,18 - 24 Years,35.43961886,0.7,0.583
12/11/2021 12:00:00 AM,25 - 39 Years,40.02660554,0.739,0.626
12/11/2021 12:00:00 AM,40 - 49 Years,35.31304826,0.818,0.709
12/11/2021 12:00:00 AM,50 - 64 Years,29.24765116,0.889,0.78
12/11/2021 12:00:00 AM,65 - 74 Years,19.23934719,0.95,0.896
12/11/2021 12:00:00 AM,75+ Years,21.22398325,0.95,0.843
12/10/2021 12:00:00 AM,5 - 11 Years,35.28879926,0.198,0.101
12/10/2021 12:00:00 AM,12 - 17 Years,33.60485134,0.622,0.527
12/10/2021 12:00:00 AM,18 - 24 Years,35.01982906,0.699,0.582
12/10/2021 12:00:00 AM,25 - 39 Years,39.67240647,0.738,0.625
12/10/2021 12:00:00 AM,40 - 49 Years,35.22588705,0.817,0.708
12/10/2021 12:00:00 AM,50 - 64 Years,29.24674306,0.889,0.779
12/10/2021 12:00:00 AM,65 - 74 Years,19.39203705,0.95,0.896
12/10/2021 12:00:00 AM,75+ Years,21.35228203,0.95,0.842
12/09/2021 12:00:00 AM,5 - 11 Years,35.70964536,0.194,0.093
12/09/2021 12:00:00 AM,12 - 17 Years,33.5940013,0.621,0.526
12/09/2021 12:00:00 AM,18 - 24 Years,35.05244787,0.698,0.582
12/09/2021 12:00:00 AM,25 - 39 Years,39.64644313,0.737,0.625
12/09/2021 12:00:00 AM,40 - 49 Years,35.35450299,0.816,0.708
12/09/2021 12:00:00 AM,50 - 64 Years,29.40407149,0.887,0.779
12/09/2021 12:00:00 AM,65 - 74 Years,19.50740273,0.95,0.896
12/09/2021 12:00:00 AM,75+ Years,21.64743933,0.95,0.842
12/08/2021 12:00:00 AM,5 - 11 Years,35.98234158,0.191,0.087
12/08/2021 12:00:00 AM,12 - 17 Years,33.3838532,0.62,0.525
12/08/2021 12:00:00 AM,18 - 24 Years,35.29354336,0.697,0.581
12/08/2021 12:00:00 AM,25 - 39 Years,40.00549714,0.735,0.624
12/08/2021 12:00:00 AM,40 - 49 Years,35.65814999,0.814,0.707
