indicatorDataSource,indicatorId,indicatorName,regionId,regionLevel,regionName,date,value
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-05,63.5091886
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-06,63.5880719
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-07,63.507877
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-08,63.620816
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-09,63.6200391
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-10,63.756948
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-11,63.8794661
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-12,63.8069187
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-13,63.8531261
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-14,64.0293927
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-15,63.8890517
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-16,63.8647396
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-17,63.8940167
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-18,63.7303324
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-19,63.8017213
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-20,63.7627838
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-21,63.6311194
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-22,63.6007063
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-23,63.6167051
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-24,63.5968763
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-25,63.6554135
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-26,63.5296849
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-27,63.5894254
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-28,63.517989
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-29,63.4007557
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-30,63.3868996
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-01,63.2206357
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-02,62.8516257
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-03,62.7526791
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-04,62.3597045
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-05,62.2179243
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-06,62.083363
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-07,61.848941
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-08,61.7528254
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-09,61.7223013
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-10,61.5012066
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-11,61.4620428
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-12,61.2939732
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-13,61.3131292
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-14,61.1969718
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-15,61.1160924
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-16,61.1505156
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-17,61.0724301
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-18,61.1673056
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-19,61.1901691
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-20,61.1388442
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-21,61.0885379
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-22,60.8479343
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-23,60.7020078
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-24,60.4827258
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-25,60.1768125
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-26,60.0174079
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-27,59.8393464
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-28,59.6960115
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-29,59.5563289
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-30,59.4375889
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-10-31,59.6091829
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-11-01,59.5407352
