week,state,total_sequences,alpha_pct,beta_pct,gamma_pct,delta_pct,omicron_pct,other_pct
2020-09-28,Virginia,79,0,0,0,0,0,1
2020-10-12,Virginia,90,0,0,0,0,0,1
2020-10-26,Virginia,120,0.008333333333333333,0,0,0,0,0.9916666666666667
2020-11-09,Virginia,163,0,0,0,0,0,1
2020-11-23,Virginia,76,0,0,0,0,0,1
2020-12-07,Virginia,130,0.007692307692307693,0,0,0,0,0.9923076923076923
2020-12-21,Virginia,311,0.00964630225080386,0,0,0,0,0.9903536977491961
2021-01-11,Virginia,274,0.0072992700729927005,0.0036496350364963502,0,0,0,0.9890510948905109
2021-01-25,Virginia,404,0.03217821782178218,0.012376237623762377,0,0,0,0.9554455445544554
2021-02-08,Virginia,429,0.039627039627039624,0.016317016317016316,0,0,0,0.9440559440559441
2021-02-22,Virginia,394,0.19796954314720813,0.02284263959390863,0,0,0,0.7791878172588832
2021-03-08,Virginia,607,0.42833607907743,0.02471169686985173,0,0,0,0.5469522240527183
2021-03-22,Virginia,838,0.6073985680190931,0.027446300715990454,0.00954653937947494,0,0,0.3556085918854415
2021-04-05,Virginia,821,0.7356881851400731,0.024360535931790498,0.014616321559074299,0.0036540803897685747,0,0.22168087697929356
2021-04-19,Virginia,649,0.7642526964560863,0.01078582434514638,0.023112480739599383,0.02157164869029276,0,0.1802773497688752
2021-05-03,Virginia,540,0.7555555555555555,0.014814814814814815,0.037037037037037035,0.018518518518518517,0,0.1740740740740741
2021-05-17,Virginia,463,0.7041036717062635,0.004319654427645789,0.0755939524838013,0.056155507559395246,0,0.1598272138228941
2021-05-31,Virginia,260,0.6423076923076924,0.0038461538461538464,0.09230769230769231,0.11538461538461539,0,0.1461538461538461
2021-06-14,Virginia,226,0.4247787610619469,0,0.05309734513274336,0.37610619469026546,0,0.14601769911504428
2021-06-28,Virginia,399,0.14536340852130325,0,0.06516290726817042,0.7243107769423559,0,0.06516290726817042
2021-07-12,Virginia,937,0.020277481323372464,0,0.02454642475987193,0.927427961579509,0,0.02774813233724657
2021-07-26,Virginia,2301,0.0047805302042590175,0,0.003911342894393742,0.9834854411125598,0,0.007822685788787444
2021-08-09,Virginia,2219,9.013068949977468e-4,0,0.0013519603424966202,0.9945921586300135,0,0.0031545741324921013
2021-08-23,Virginia,2551,0,0,0.0015680125441003528,0.9972559780478244,0,0.0011760094080752487
2021-09-06,Virginia,2457,4.07000407000407e-4,0,4.07000407000407e-4,0.9967439967439967,0,0.0024420024420025058
2021-09-20,Virginia,1497,0,0,0,0.9979959919839679,0,0.002004008016032066
2021-10-04,Virginia,1464,0,0,0,0.9986338797814208,0,0.001366120218579181
2021-10-18,Virginia,1375,7.272727272727272e-4,0,0,0.9985454545454545,0,7.272727272727986e-4
2021-11-01,Virginia,1098,0,0,0,0.9981785063752276,0,0.0018214936247723523
2021-11-15,Virginia,1115,0,0,0,0.9955156950672646,0.0017937219730941704,0.0026905829596412687
