Date,pct_dose_1_cumulative,pct_dose_2_cumulative,pct_dose_3_cumulative,Admin_Dose_1_Cumulative,Series_Complete_Cumulative,Booster_Cumulative,pop_total,total_dose_1,total_dose_2,total_dose_3,pct_1st_dose_18a,pct_2nd_dose_18a,age_pct,rel_dose1_age18,rel_dose2_age18,pct_dose_1,pct_dose_2,pct_dose_3
2021-10-13,0.613,0.622,0.04544539444071733,218440840,190038424,11079298,333239062,0.6555079068131574,0.5702765541933976,0.03324729680099748,0.653,0.547,0.09086016494337025,0.996174101353941,0.9591837433570803,0,0.0010000000000000009,0.0018164009745021345
2021-10-14,0.616,0.627,0.047298728290528363,218672373,190260684,11531129,333239062,0.6562027023110514,0.5709435228214632,0.034603173261842875,0.654,0.548,0.09086016494337025,0.9966432593110426,0.9598147243915092,0.0030000000000000027,0.0050000000000000044,0.0018533338498110327
2021-10-15,0.617,0.628,0.04936770353535716,218940415,190530918,12035532,333239062,0.6570070557934772,0.5717544541642,0.03611681033959938,0.655,0.549,0.09086016494337025,0.9969451533651291,0.9602024015755806,0.0010000000000000009,0.0010000000000000009,0.002068975244828797
2021-10-16,0.618,0.629,0.050207803393741486,219084419,190672124,12240343,333239062,0.6574391900070826,0.5721781920031932,0.03673141715901241,0.655,0.55,0.09086016494337025,0.9962898621740874,0.9612390120540117,0.0010000000000000009,0.0010000000000000009,8.400998583843258e-4
2021-10-17,0.62,0.631,0.0506154801534124,219170254,190754464,12339732,333239062,0.6576967678537038,0.5724252818836707,0.03702966850866961,0.656,0.55,0.09086016494337025,0.9974201365482745,0.9608240890236781,0.0020000000000000018,0.0020000000000000018,4.0767675967091216e-4
2021-10-18,0.62,0.632,0.052226363048785536,219398804,190960920,12732455,333239062,0.6583826118199793,0.5730448250991655,0.03820817080561822,0.656,0.551,0.09086016494337025,0.99638111369103,0.9615303652810221,0,0.0010000000000000009,0.0016108828953731377
2021-10-19,0.62,0.632,0.05395842630125009,219605904,191149423,13154721,333239062,0.6590040875820254,0.5736104940782722,0.03947532717517972,0.657,0.552,0.09086016494337025,0.9969589147931105,0.9623254903782786,0,0,0.0017320632524645552
2021-10-20,0.621,0.634,0.055728784236509385,219813141,191339409,13586323,333239062,0.659625974460341,0.5741806133159744,0.040770499468036556,0.658,0.553,0.09086016494337025,0.9975350054071609,0.9631115840124708,0.0010000000000000009,0.0020000000000000018,0.0017703579352592938
2021-10-21,0.622,0.634,0.05756029635190867,220024930,191531397,14032834,333239062,0.6602615212018572,0.5747567402527378,0.04211041141389361,0.659,0.554,0.09086016494337025,0.9980893613191923,0.9638860429133717,0.0010000000000000009,0,0.0018315121153992878
2021-10-22,0.623,0.635,0.06092972801461416,220329266,191771678,14854280,333239062,0.6611747874863482,0.5754777871749021,0.04457544656034352,0.66,0.555,0.09086016494337025,0.9982231816630298,0.9644160250295146,0.0010000000000000009,0.0010000000000000009,0.003369431662705487
2021-10-23,0.624,0.636,0.06301310068195896,220514002,191903276,15362193,333239062,0.6617291522684696,0.5758726928597584,0.04609961661697391,0.66,0.555,0.09086016494337025,0.9973869184052994,0.9637546750895489,0.0010000000000000009,0.0010000000000000009,0.0020833726673448044
2021-10-24,0.625,0.637,0.06415032888570386,220627575,191982136,15639442,333239062,0.6620699676558326,0.5761093397868224,0.04693159891321504,0.661,0.556,0.09086016494337025,0.9983839054660326,0.9650945777163351,0.0010000000000000009,0.0010000000000000009,0.0011372282037449
2021-10-25,0.626,0.637,0.06822334740999716,220945050,192182746,16632418,333239062,0.6630226620911567,0.5767113400409223,0.04991136963409169,0.661,0.557,0.09086016494337025,0.9969493318904407,0.9658211332561563,0.0010000000000000009,0,0.004073018524293301
2021-10-26,0.626,0.638,0.07246987333384253,221257518,192380750,17667694,333239062,0.6639603312771298,0.5773055200833569,0.05301807625421776,0.662,0.557,0.09086016494337025,0.9970475174723781,0.9648270813685881,0,0.0010000000000000009,0.004246525923845362
