date,age_group.x,cases,age_class,age_group.y,clinical_fraction,cases_adj,pop,age_pct,incid_per100K,mean_incid_per100K,incid_OR
2020-07-29,40 - 49 Years,7181,40,a40-49,0.4,17952.5,41153000,0.1237315806722209,43.623794134085,40.60351967021314,1.0743845481476215
2020-07-29,50 - 59 Years,6618,50,a50-59,0.49,13506.122448979591,43033000,0.12938403302475354,31.385500543721314,40.60351967021314,0.7729748750511846
2020-07-29,60 - 69 Years,4576,60,a60-69,0.63,7263.492063492064,39034000,0.1173605452812546,18.608116164093005,40.60351967021314,0.4582882546939391
2020-07-29,70 - 79 Years,2479,70,a70-79,0.69,3592.753623188406,24136000,0.07256786701102529,14.885455846819715,40.60351967021314,0.36660506201731397
2020-07-29,80+ Years,1796,80,a80+,0.69,2602.898550724638,12205000,0.0366958409375855,21.326493656080608,40.60351967021314,0.5252375614059336
2020-07-30,0 - 9 Years,1802,00,a00-09,0.29,6213.793103448276,39888000,0.11992820182862847,15.57810144266014,36.2339765261146,0.42993077040364774
2020-07-30,10 - 19 Years,4702,10,a10-19,0.21,22390.47619047619,43455000,0.1306528281804816,51.52566146698007,36.2339765261146,1.4220261314637774
2020-07-30,20 - 29 Years,8358,20,a20-29,0.27,30955.555555555555,44501000,0.13379775645747582,69.56148301286612,36.2339765261146,1.919786059438761
2020-07-30,30 - 39 Years,7047,30,a30-39,0.33,21354.545454545452,45194000,0.13588134660657428,47.25084182534286,36.2339765261146,1.304047922846342
2020-07-30,40 - 49 Years,6361,40,a40-49,0.4,15902.5,41153000,0.1237315806722209,38.6423833013389,36.2339765261146,1.0664681883173521
2020-07-30,50 - 59 Years,5931,50,a50-59,0.49,12104.081632653062,43033000,0.12938403302475354,28.127440877124677,36.2339765261146,0.7762725368233494
2020-07-30,60 - 69 Years,3928,60,a60-69,0.63,6234.920634920635,39034000,0.1173605452812546,15.973050763233681,36.2339765261146,0.4408307421549926
2020-07-30,70 - 79 Years,2112,70,a70-79,0.69,3060.8695652173915,24136000,0.07256786701102529,12.6817598824055,36.2339765261146,0.3499963597223585
2020-07-30,80+ Years,1585,80,a80+,0.69,2297.1014492753625,12205000,0.0366958409375855,18.820986884681382,36.2339765261146,0.519429239877017
